,Accession Number,Central Index Key (CIK),Name,Standard Industrial Classification (SIC),Country,State,City,Zip Code,Address,Address (Cont.),Phone Number,Filer Status,Well Known Seasoned Issuer,Fiscal Year End Date,Form,Balance Sheet Date,Fiscal Year Focus,Fiscal Period Focus,Date of Filing,Previous Report,Detail,Public Float,Date of Public Float,Gross Profit,Accrual for Environmental Loss Contingencies,Environmental Remediation Expenses,Charitable Contributions,Amount Committed for Funding Social and Infrastructure Improvement Projects
2187,0001104659-24-003442,1970466,FIRST TRUST HEDGED STRATEGIES FUND,,US,WI,MILWAUKEE,53212,"C/O UMB FUND SERVICES, INC.",235 W. GALENA STREET,414-299-2200,,0,331.0,424B3,,,,01122024,0,0,,,,,,,
2198,0001104659-24-003673,1136294,"NOS4-1, INC.",1600.0,US,DE,WILMINGTON,19801,1007 NORTH ORANGE STREET,"4TH FLOOR, SUITE 461",770-879-4400,4-NON,0,1231.0,8-K,12312023,,,01122024,0,0,,,,,,,
2232,0001193125-24-007373,1911795,PIMCO CALIFORNIA FLEXIBLE MUNICIPAL INCOME FUND,,US,NY,NEW YORK,10019,1633 BROADWAY,,844-312-2113,,0,,424B3,,,,01122024,0,0,,,,,,,
2267,0001213900-24-003211,1930021,"PONO CAPITAL THREE, INC.",3721.0,US,HI,HONOLULU,96816,"4348 WAIALAE AVE., #632",,8088926611,4-NON,0,1231.0,8-K,12312023,,,01122024,0,0,,,,,,,
2606,0001477932-24-000192,1451512,"UNRIVALED BRANDS, INC.",5900.0,US,CA,SANTA ANA,92705,3242 S. HALLADAY ST.,SUITE 202,888-909-5564,4-NON,0,1231.0,8-K,12312023,,,01162024,0,0,,,,,,,
2633,0001493152-24-002374,1647822,SAVMOBI TECHNOLOGY INC.,7372.0,US,CA,SAN JOSE,95134,2880 ZANKER ROAD,SUITE 203,800-592-6276,4-NON,0,531.0,10-Q,11302023,2024.0,Q2,01162024,0,1,,,-2242047.0,,,,
2707,0001683168-24-000292,1579717,PERK INTERNATIONAL INC.,7311.0,US,AZ,PHOENIX,85016,"2375 EAST CAMELBACK ROAD, SUITE 600",,602-358-7505,4-NON,0,531.0,8-K,01312024,,,01162024,0,0,,,,,,,
2831,0001193125-24-008970,315858,BLUEGREEN VACATIONS HOLDING CORP,6500.0,US,FL,FORT LAUDERDALE,33301,401 EAST LAS OLAS BLVD,SUITE 800,954-940-4900,2-ACC,0,1231.0,8-K,01312024,,,01172024,0,0,,,,,,,
2888,0001437749-24-001524,1513818,"ARAVIVE, INC.",2834.0,US,TX,HOUSTON,77098,RIVER OAKS TOWER,"3730 KIRBY DRIVE, SUITE 1200",936-355-1910,4-NON,0,1231.0,8-K,12312023,,,01172024,0,0,,,,,,,
2894,0001477932-24-000223,1629205,INNOVATION1 BIOTECH INC.,2834.0,US,NJ,ROCKAWAY,07866,"179 RTE 46W, SUITE 15 #147",,929-459-4966,4-NON,0,831.0,10-K,08312023,2023.0,FY,01172024,0,1,6243650.0,20230228.0,,,,,
3101,0001214659-24-000936,1349706,IMPERALIS HOLDING CORP.,3620.0,US,CA,MILPITAS,95035,1421 MCCARTHY BLVD.,,(510) 657-2635,4-NON,0,1231.0,8-K,01312024,,,01182024,0,0,,,,,,,
3147,0001493152-24-002842,1802546,"KONA GOLD BEVERAGE, INC.",2080.0,US,FL,MELBOURNE,32934,746 NORTH DRIVE,SUITE A,8447142224,4-NON,0,1231.0,8-K,11302023,,,01182024,0,0,,,,,,,
3154,0001493152-24-002907,737207,"ADHERA THERAPEUTICS, INC.",2834.0,US,NC,WAKE FOREST,27588,P.O. BOX 2161,,919-578-5901,4-NON,0,1231.0,8-K,12312023,,,01182024,0,0,,,,,,,
3582,0001213900-24-005086,1372183,NEXTPLAY TECHNOLOGIES INC.,6199.0,US,FL,SUNRISE,33323,1560 SAWGRASS CORPORATE PARKWAY,SUITE 130,(954) 888-9779,4-NON,0,228.0,8-K,10312023,,,01222024,0,0,,,,,,,
3594,0001213900-24-005350,854800,"TINGO GROUP, INC.",2000.0,US,NJ,MONTVALE,07645,"28 WEST GRAND AVENUE, SUITE 3",,201-225-0190,4-NON,0,1231.0,8-K,01312024,,,01222024,0,0,,,,,,,
3747,0001062993-24-001181,1617765,SALONA GLOBAL MEDICAL DEVICE CORP,3841.0,US,CA,CARLSBAD,92009,6160 INNOVATION WAY,,800-760-6826,4-NON,0,229.0,8-K,01312024,,,01232024,0,0,,,,,,,
3780,0001140361-24-003287,1576263,"MIRATI THERAPEUTICS, INC.",2834.0,US,CA,SAN DIEGO,92121,3545 CRAY COURT,,858-332-3410,1-LAF,0,1231.0,8-K,01312024,,,01232024,0,0,,,,,,,
3817,0001193125-24-013046,1860424,ONEX FALCON DIRECT LENDING BDC FUND,,US,MA,BOSTON,02110,21 CUSTOM HOUSE STREET,10TH FLOOR,(617) 412-2700,4-NON,0,1231.0,8-K,01312024,,,01232024,0,0,,,,,,,
4079,0001193125-24-013577,1308606,"SPIRIT REALTY CAPITAL, INC.",6512.0,US,TX,DALLAS,75201,2727 NORTH HARWOOD STREET,SUITE 300,972.476.1900,1-LAF,0,1231.0,8-K,01312024,,,01242024,0,0,,,,,,,
4101,0001193125-24-014298,928576,MIDAMERICAN ENERGY CO,4911.0,US,IA,DES MOINES,50306-0657,666 GRAND AVE,P O BOX 657,515-242-4300,,0,1231.0,8-K,01312024,,,01242024,0,0,,,,,,,
4121,0001213900-24-006163,1490927,FRANKLIN BSP LENDING CORP,,US,NY,NEW YORK,10019,"9 WEST 57TH STREET, SUITE 4920",,212-588-6770,4-NON,0,1231.0,8-K,01312024,,,01242024,0,0,,,,,,,
4213,0001580642-24-000449,1988752,MEKETA INFRASTRUCTURE FUND,,US,MA,WESTWOOD,02090,80 UNIVERSITY AVENUE,,781-471-3500,,0,,N-2/A,,,,01242024,0,0,,,,,,,
4225,0001671284-24-000013,1671284,BRIGHT HEALTH GROUP INC.,6324.0,US,MN,MINNEAPOLIS,55437,8000 NORMAN CENTER DRIVE,SUITE 900,612-238-1321,2-ACC,0,1231.0,8-K,01312024,,,01242024,0,0,,,,,,,
4234,0001731122-24-000124,1843248,"GLOBAL SYSTEM DYNAMICS, INC.",7372.0,US,TX,HOUSTON,77002,815 WALKER STREET,STE. 1155,703-287-5800,4-NON,0,1231.0,8-K,01312024,,,01242024,0,0,,,,,,,
4241,0001794905-24-000008,1794905,"CYXTERA TECHNOLOGIES, INC.",7370.0,US,FL,CORAL GABLES,33134,"2333 PONCE DE LEON BOULEVARD, SUITE 900",,305-537-9500,2-ACC,0,1231.0,8-K,01312024,,,01242024,0,0,,,,,,,
4434,0001193125-24-015453,1050606,"SALEM MEDIA GROUP, INC. /DE/",4832.0,US,TX,IRVING,75063,6400 NORTH BELT LINE ROAD,,8059870400,4-NON,0,1231.0,8-K,01312024,,,01252024,0,0,,,,,,,
4671,0001062993-24-001408,1532390,ALKALINE WATER CO INC,5140.0,US,AZ,SCOTTSDALE,85255,8541 E ANDERSON DRIVE,SUITE 100/101,480-656-2423,4-NON,0,331.0,8-K,12312023,,,01262024,0,0,,,,,,,
4735,0001193125-24-016530,1863105,"ENGAGESMART, INC.",7372.0,US,MA,BRAINTREE,02184,30 BRAINTREE HILL OFFICE PARK,SUITE 101,(781) 848-3733,2-ACC,0,1231.0,8-K,01312024,,,01262024,0,0,,,,,,,
4749,0001193125-24-016815,1948565,INVESTCORP US INSTITUTIONAL PRIVATE CREDIT FUND,,US,NY,NEW YORK,10017,280 PARK AVENUE,39TH FLOOR,212-257-5193,4-NON,0,630.0,8-K,01312024,,,01262024,0,0,,,,,,,
4755,0001193125-24-016885,1694665,"EVELO BIOSCIENCES, INC.",2834.0,US,MA,FOXBORO,02035,"124 WASHINGTON STREET, SUITE 101",,617-577-0300,4-NON,0,1231.0,8-K,01312024,,,01262024,0,0,,,,,,,
4812,0001493152-24-003838,1504167,"TIMBER PHARMACEUTICALS, INC.",2834.0,US,NJ,WARREN,07059,"3 MOUNTAINVIEW ROAD, SUITE 100",,(917) 697-3130,4-NON,0,1231.0,8-K,01312024,,,01262024,0,0,,,,,,,
4880,0001999371-24-000886,1724979,RAIN ONCOLOGY INC.,2834.0,US,CA,NEWARK,94560,8000 JARVIS AVENUE,SUITE 204,(510) 953-5559,4-NON,0,1231.0,8-K,01312024,,,01262024,0,0,,,,,,,
4919,0000950170-24-008115,1564902,"SEAWORLD ENTERTAINMENT, INC.",7990.0,US,FL,ORLANDO,32821,6240 SEA HARBOR DRIVE,,(407) 226-5011,1-LAF,0,1231.0,8-K/A,01312024,,,01292024,0,0,,,,,,,
4998,0001193125-24-017335,1855066,MAINSTAY CBRE GLOBAL INFRASTRUCTURE MEGATRENDS TERM FUND,,US,NY,NEW YORK,10010,51 MADISON AVENUE,,212-576-7000,,0,531.0,8-K,01312024,,,01292024,0,0,,,,,,,
5006,0001193125-24-017451,1823593,TUSIMPLE HOLDINGS INC.,7373.0,US,CA,SAN DIEGO,92122,"9191 TOWNE CENTRE DRIVE, SUITE 150",,(619) 916-3144,1-LAF,0,1231.0,8-K,01312024,,,01292024,0,0,,,,,,,
5178,0001829126-24-000541,1557376,"ORGANICELL REGENERATIVE MEDICINE, INC.",2836.0,US,FL,DAVIE,33314,3321 COLLEGE AVENUE,SUITE 246,888-963-7881,4-NON,0,1031.0,10-K,10312023,2023.0,FY,01292024,0,1,7197268.0,20230430.0,9788123.0,,,,
5284,0001079973-24-000145,1476963,"NIGHTHAWK BIOSCIENCES, INC.",2834.0,US,NC,MORRISVILLE,27560,627 DAVIS DRIVE,SUITE 300,919-240-7133,4-NON,0,1231.0,8-K,01312024,,,01302024,0,0,,,,,,,
5323,0001104659-24-008270,32689,EMPIRE DISTRICT ELECTRIC CO,4911.0,US,MO,JOPLIN,64801,602 JOPLIN ST,,4176255100,,0,1231.0,8-K,01312024,,,01302024,0,0,,,,,,,
5452,0001493152-24-004298,1776932,"MEDMEN ENTERPRISES, INC.",5990.0,US,CA,LOS ANGELES,90045,8740 S. SEPULVEDA BOULEVARD,SUITE 105,4243302082,2-ACC,0,630.0,8-K,01312024,,,01302024,0,0,,,,,,,
5518,0001683168-24-000538,1481443,"TECHCOM, INC.",6770.0,US,DE,WILMINGTON,19801,"919 NORTH MARKET STREET, SUITE 950",,852 29803711,4-NON,0,1231.0,8-K,01312024,,,01302024,0,0,,,,,,,
5520,0001683168-24-000545,1497120,"GLOBAL VISION HOLDINGS, INC.",2000.0,US,CA,IRVINE,92612,"19200 VON KARMAN AVE, 6TH FLOOR",,949-281-6438,,0,1231.0,8-K,01312024,,,01302024,0,0,,,,,,,
5682,0001104659-24-008879,1849475,NEWCOURT ACQUISITION CORP,6770.0,US,CA,OAKLAND,94612,"2201 BROADWAY, SUITE 705",,27 83 294 3837,4-NON,0,1231.0,8-K,01312024,,,01312024,0,0,,,,,,,
5729,0001193125-24-021025,1777946,"IRONNET, INC.",7372.0,US,VA,MCLEAN,22102,7900 TYSONS ONE PLACE,SUITE 400,443-300-6761,4-NON,0,131.0,10-K/A,01312023,2023.0,FY,01312024,0,0,16921037.0,20230731.0,55154000.0,,,,
5749,0001213900-24-008467,1781397,EPICQUEST EDUCATION GROUP INTERNATIONAL LTD,8200.0,US,OH,MIDDLETOWN,45042,1209 N. UNIVERSITY BLVD.,,(513)835-5394,4-NON,0,930.0,20-F,09302023,2023.0,FY,01312024,0,1,,,11927208.0,,,,
5827,0001515156-24-000024,1515156,"ADVANCED EMISSIONS SOLUTIONS, INC.",2890.0,US,CO,GREENWOOD VILLAGE,80111,"8051 E. MAPLEWOOD AVE., STE 210",,720-598-3500,2-ACC,0,1231.0,8-K,01312024,,,01312024,0,0,,,,,,,
253,0001477932-24-000494,1355250,INNOVATION PHARMACEUTICALS INC.,2834.0,US,MA,WAKEFIELD,01880,301 EDGEWATER PLACE,SUITE 100,978-921-4125,4-NON,0,630.0,8-K,01312024,,,02012024,0,0,,,,,,,
259,0001493152-24-004532,1857086,DEEP MEDICINE ACQUISITION CORP.,3949.0,US,FL,PLANTATION,33324,"7951 S.W. 6TH STREET, SUITE 216",,9544242345,4-NON,0,331.0,8-K,01312024,,,02012024,1,0,,,,,,,
357,0001829126-24-000629,1722837,BLUEBAY DESTRA INTERNATIONAL EVENT-DRIVEN CREDIT FUND,,US,MT,BOZEMAN,59715,443 N. WILLSON AVE.,,877-855-3434,,0,930.0,424B3,,,,02012024,0,0,,,,,,,
415,0000950170-24-010524,1598428,TIMKENSTEEL CORP,3312.0,US,OH,CANTON,44706-0928,1835 DUEBER AVENUE SW,,330-471-7000,1-LAF,0,1231.0,8-K,01312024,,,02022024,0,0,,,,,,,
439,0001104659-24-009754,1083446,"APOLLO MEDICAL HOLDINGS, INC.",8742.0,US,CA,ALHAMBRA,91801,1668 S. GARFIELD AVENUE,2ND FLOOR,(626) 282-0288,1-LAF,0,1231.0,8-K,01312024,,,02022024,0,0,,,,,,,
509,0001213900-24-009217,1703079,XAI OCTAGON FLOATING RATE & ALTERNATIVE INCOME TERM TRUST,,US,IL,CHICAGO,60654,321 NORTH CLARK STREET #2430,,(312) 374-6930,,0,930.0,424B2,,,,02022024,0,0,,,,,,,
524,0001213900-24-009624,1178727,COMSOVEREIGN HOLDING CORP.,3669.0,US,AZ,TUCSON,85750,6890 E. SUNRISE DRIVE,SUITE 120-506,206-796-0173,4-NON,0,1231.0,8-K,01312024,,,02022024,0,0,,,11932000.0,,,,
535,0001213900-24-009744,1845550,ALPHA PARTNERS TECHNOLOGY MERGER CORP.,6770.0,US,NY,NEW YORK,10001,EMPIRE STATE BUILDING,"20 WEST 34TH STREET, SUITE 4215",212-906-4480,4-NON,0,1231.0,8-K,01312024,,,02022024,0,0,,,,,,,
895,0001628280-24-003250,874292,ADDVANTAGE TECHNOLOGIES GROUP INC,5000.0,US,TX,CARROLLTON,75007,1430 BRADLEY LANE,SUITE 196,(918) 251-9121,4-NON,0,1231.0,8-K,01312024,,,02052024,0,0,,,,,,,
934,0001999371-24-001531,102426,"SRH TOTAL RETURN FUND, INC.",,US,CO,DENVER,80290,1700 BROADWAY,SUITE 1850,7209170764,,0,1130.0,N-CSR,11302023,,,02052024,0,0,,,,,,,
1027,0001096906-24-000162,1017616,"TONNER-ONE WORLD HOLDINGS, INC.",3942.0,US,TX,KATY,77494,6725 S FRY RD,#321,8664401470,,0,1231.0,8-K,01312024,,,02062024,0,0,,,,,,,
1033,0001104659-24-010941,1292519,INVIVO THERAPEUTICS HOLDINGS CORP.,3841.0,US,MA,CAMBRIDGE,02139,ONE KENDALL SQUARE,BUILDING 1400 EAST 4TH FLOOR,617-863-5524,4-NON,0,1231.0,8-K,01312024,,,02062024,0,0,,,,,,,
1193,0001493152-24-005064,882800,"PACIFIC VENTURES GROUP, INC.",2080.0,US,CA,LOS ANGELES,90015,117 WEST 9TH STREET SUITE 316,,310-392-5606,4-NON,0,1231.0,8-K,01312024,,,02062024,0,0,,,,,,,
1204,0001493152-24-005108,1958777,FIBROBIOLOGICS INC.,2834.0,US,TX,HOUSTON,77598,455 E. MEDICAL CENTER BLVD,SUITE 300,281-671-5152,,0,1231.0,8-K,01312024,,,02062024,0,0,,,,,,,
1496,0001140361-24-006081,1957783,"MACHTEN, INC.",4813.0,US,NY,RYE,10580,401 THEODORE FREMD AVENUE,,(914) 921-8821,4-NON,0,1231.0,8-K,01312024,,,02072024,0,0,,,,,,,
1512,0001193125-24-025866,1776197,AKUMIN INC.,8071.0,US,FL,PLANTATION,33322,8300 W SUNRISE BLVD,,9546784489,4-NON,0,1231.0,8-K,01312024,,,02072024,0,0,,,,,,,
1584,0001398344-24-002274,1856156,FS MVP PRIVATE MARKETS FUND,,US,CT,DARIEN,06820,9 OLD KINGS HIGHWAY,,(203) 662-3456,,0,331.0,424B3,,,,02072024,0,0,,,,,,,
1602,0001477932-24-000574,1759424,"EVIL EMPIRE DESIGNS, INC.",3751.0,US,NV,LAS VEGAS,89130,5313 CORBETT ST.,,(725) 666-3700,4-NON,0,1231.0,10-Q,09302023,2023.0,Q3,02072024,0,1,,,38078.0,,,,
1702,0001731122-24-000207,1527728,RENOVARO BIOSCIENCES INC.,2834.0,US,CA,SUITE 906 LOS ANGELES,90067,CENTURY CITY MEDICAL PLAZA,2080 CENTURY CITY EAST,45 39179840,4-NON,0,630.0,8-K,01312024,,,02072024,1,0,,,,,,,
1883,0001104659-24-012286,1402479,"MEDAVAIL HOLDINGS, INC.",5912.0,US,AZ,PHOENIX,85040,4720 E COTTON GIN LOOP,SUITE 220,1.877.830.0826,4-NON,0,1231.0,8-K,01312024,,,02082024,0,0,,,,,,,
2099,0001493152-24-005489,1647822,"JINGBO TECHNOLOGY, INC.",7372.0,US,CA,SAN JOSE,95134,2880 ZANKER ROAD,SUITE 203,800-592-6276,4-NON,0,531.0,8-K,01312024,,,02082024,0,0,,,,,,,
2123,0001566469-24-000005,1566469,"NANTHEALTH, INC.",7374.0,US,NC,MORRISVILLE,27560,3000 RDU CENTER DRIVE,SUITE 200,8559496288,4-NON,0,1231.0,8-K,01312024,,,02082024,0,0,,,,,,,
2359,0001193125-24-030292,716006,YELLOW CORP,4213.0,US,KS,OVERLAND PARK,66211,10990 ROE AVENUE,,913-696-6156,2-ACC,0,1231.0,8-K,01312024,,,02092024,0,0,,,,,,,
2389,0001213900-24-012142,1648903,"FIRST FOODS GROUP, INC.",7812.0,US,NV,LAS VEGAS,89169-6014,"C/O INCORP SERVICES, INC.","3773 HOWARD HUGHES PARKWAY, SUITE 500S",201-471-0988,4-NON,0,1231.0,8-K,01312024,,,02092024,0,0,,,,,,,
2390,0001213900-24-012143,1698113,"PARTS ID, INC.",7311.0,US,OH,CINCINNATI,45202,"1308 RACE STREET, SUITE 200",,513-618-7161,4-NON,0,1231.0,8-K,01312024,,,02092024,0,0,,,,,,,
2408,0001410578-24-000026,1267425,BF GARDEN TAX CREDIT FUND V L.P.,6513.0,US,MA,BOSTON,02110,225 FRANKLIN STREET,28TH FLOOR,(888) 773-1487,4-NON,0,331.0,10-Q,12312023,2024.0,Q3,02092024,0,1,,,,,,,
2433,0001493152-24-005567,1883788,AURORA TECHNOLOGY ACQUISITION CORP.,3841.0,US,CA,SAN FRANCISCO,94105,4 EMBARCADERO CENTER SUITE 1449,,6143650143,4-NON,0,1231.0,8-K,01312024,,,02092024,1,0,,,,,,,
2560,0000700815-24-000006,700815,"SOAFEE, INC.",5171.0,US,GA,ATLANTA,30326,3344 PEACHTREE ROAD NE,SUITE 800,832-551-9444,4-NON,0,1231.0,10-12G,09302023,,,02122024,0,1,,,70078.0,,,,
2625,0001104659-24-013712,855654,"IMMUNOGEN, INC.",2834.0,US,MA,WALTHAM,02451,830 WINTER ST,,(781)895-0600,1-LAF,0,1231.0,8-K,01312024,,,02122024,0,0,,,,,,,
2684,0001193125-24-032310,1831481,FLAME ACQUISITION CORP.,1311.0,US,TX,HOUSTON,77002,700 MILAM STREET,SUITE 3300,(713) 579-8007,4-NON,0,1231.0,8-K,01312024,,,02122024,1,0,,,,,,,
2790,0001520138-24-000067,1718500,REVIV3 PROCARE CO,2844.0,US,CA,ALHAMBRA,91803,901 S. FREMONT AVE.,UNIT 158,888-638-8883,4-NON,0,531.0,8-K,01312024,,,02122024,0,0,,,91572498.0,,,,
2817,0001640334-24-000204,1409446,NATE'S FOOD CO.,6199.0,US,CA,HUNTINGTON BEACH,92649,15151 SPRINGDALE ST,,(650) 222-5141,4-NON,0,531.0,8-K,01312024,,,02122024,0,0,,,-52904.0,,,,
2967,0001104659-24-019866,1739426,RVL PHARMACEUTICALS PLC,2834.0,US,NJ,BRIDGEWATER,08807,400 CROSSING BOULEVARD,,9088091300,4-NON,0,1231.0,8-K,01312024,,,02132024,0,0,,,,,,,
2989,0001140361-24-007454,1870129,ROSE HILL ACQUISITION CORP,6770.0,US,GA,ATLANTA,30327,981 DAVIS DR NW,,404-973-7681,4-NON,0,1231.0,8-K,01312024,,,02132024,0,0,,,,,,,
3056,0001213900-24-012987,1810140,POLISHED.COM INC.,5700.0,US,MO,ST. CHARLES,63301,3817 MILLSTONE PARKWAY,,8887681710,4-NON,0,1231.0,8-K,01312024,,,02132024,0,0,,,326713000.0,,,,
